cast_member_list,vote_average,movie_count
Bernie Mac,5.766666666666667,9
Bert Lahr,7.4,1
Bess Armstrong,4.6,1
Bessie Love,5.0,1
Beth Broderick,5.2,1
Beth Grant,6.5,1
Betsy Baker,7.3,1
Betsy Palmer,6.0,1
Betsy Rue,5.3,1
Betsy Russell,5.5,5
Bette Davis,7.3,1
Bette Midler,6.01,10
Bettina Bresnan,5.5,1
Betty Buckley,4.9,1
Betty Hutton,6.949999999999999,2
Betty Schuurman,7.7,1
Betty Thomas,5.6,1
Betty White,6.066666666666666,3
Beverly D'Angelo,5.766666666666667,6
Beverly Peckous,7.6,1
Beverly Todd,7.0,1
